2026-04-21,19:51:58,19:51:59,13370,14636,,DC214842FDC9
2026-04-21,19:51:57,19:51:58,876,991,,DC214842FDC9
2026-04-21,19:51:56,19:51:57,319,529,,DC214842FDC9
2026-04-21,19:51:55,19:51:56,245,392,,DC214842FDC9
2026-04-21,19:51:54,19:51:55,502,530,,DC214842FDC9
2026-04-21,19:51:53,19:51:54,418,466,,DC214842FDC9
2026-04-21,19:51:52,19:51:53,868,805,,DC214842FDC9
2026-04-21,19:51:51,19:51:52,245,529,,DC214842FDC9
2026-04-21,19:51:50,19:51:51,342,466,,DC214842FDC9
2026-04-21,19:51:49,19:51:50,319,551,,DC214842FDC9
2026-04-21,19:51:48,19:51:49,507,648,,DC214842FDC9
2026-04-21,19:51:47,19:51:48,454,728,,DC214842FDC9
2026-04-21,19:51:46,19:51:47,245,392,,DC214842FDC9
2026-04-21,19:51:45,19:51:46,171,295,,DC214842FDC9
2026-04-21,19:51:44,19:51:45,97,74,,DC214842FDC9
2026-04-21,19:51:43,19:51:44,270,275,,DC214842FDC9
2026-04-21,19:51:42,19:51:43,970,7843,,DC214842FDC9
2026-04-21,19:51:41,19:51:42,237,128,,DC214842FDC9
2026-04-21,19:51:40,19:51:41,801,552,,DC214842FDC9
2026-04-21,19:51:39,19:51:40,8111,18971,,DC214842FDC9
2026-04-21,19:51:38,19:51:39,10484,2192,,DC214842FDC9
2026-04-21,19:51:37,19:51:38,465,741,,DC214842FDC9
2026-04-21,19:51:36,19:51:37,245,392,,DC214842FDC9
2026-04-21,19:51:35,19:51:36,245,551,,DC214842FDC9
2026-04-21,19:51:34,19:51:35,441,446,,DC214842FDC9
2026-04-21,19:51:33,19:51:34,844,941,,DC214842FDC9
2026-04-21,19:51:32,19:51:33,361,858,,DC214842FDC9
2026-04-21,19:51:31,19:51:32,325,424,,DC214842FDC9
2026-04-21,19:51:29,19:51:30,245,551,,DC214842FDC9
2026-04-21,19:51:28,19:51:29,245,422,,DC214842FDC9
2026-04-21,19:51:27,19:51:28,380,390,,DC214842FDC9
2026-04-21,19:51:26,19:51:27,319,527,,DC214842FDC9
2026-04-21,19:51:25,19:51:26,245,392,,DC214842FDC9
2026-04-21,19:51:24,19:51:25,399,583,,DC214842FDC9
2026-04-21,19:51:23,19:51:24,418,655,,DC214842FDC9
2026-04-21,19:51:22,19:51:23,506,718,,DC214842FDC9
2026-04-21,19:51:21,19:51:22,311,447,,DC214842FDC9
2026-04-21,19:51:20,19:51:21,225,446,,DC214842FDC9
2026-04-21,19:51:19,19:51:20,471,498,,DC214842FDC9
2026-04-21,19:51:18,19:51:19,325,551,,DC214842FDC9
2026-04-21,19:51:17,19:51:18,732,1052,,DC214842FDC9
2026-04-21,19:51:16,19:51:17,171,392,,DC214842FDC9
2026-04-21,19:51:15,19:51:16,319,392,,DC214842FDC9
2026-04-21,19:51:14,19:51:15,310,678,,DC214842FDC9
2026-04-21,19:51:13,19:51:14,7878,17981,,DC214842FDC9
2026-04-21,19:51:12,19:51:13,10308,3412,,DC214842FDC9
2026-04-21,19:51:11,19:51:12,831,509,,DC214842FDC9
2026-04-21,19:51:10,19:51:11,194,148,,DC214842FDC9
2026-04-21,19:51:09,19:51:10,319,360,,DC214842FDC9
2026-04-21,19:51:08,19:51:09,319,527,,DC214842FDC9
2026-04-21,19:51:07,19:51:08,574,678,,DC214842FDC9
2026-04-21,19:51:06,19:51:07,325,424,,DC214842FDC9
2026-04-21,19:51:05,19:51:06,946,2026,,DC214842FDC9
2026-04-21,19:51:04,19:51:05,488,655,,DC214842FDC9
2026-04-21,19:51:03,19:51:04,8729,1498,,DC214842FDC9
2026-04-21,19:51:02,19:51:03,18066,24084,,DC214842FDC9
2026-04-21,19:51:01,19:51:02,22827,1226,,DC214842FDC9
2026-04-21,19:51:00,19:51:01,13841,9663,,DC214842FDC9
2026-04-21,19:50:58,19:50:59,686,671,,DC214842FDC9
2026-04-21,19:50:57,19:50:58,496,770,,DC214842FDC9
2026-04-21,19:50:56,19:50:57,299,446,,DC214842FDC9
2026-04-21,19:50:55,19:50:56,245,392,,DC214842FDC9
2026-04-21,19:50:54,19:50:55,473,678,,DC214842FDC9
2026-04-21,19:50:53,19:50:54,515,710,,DC214842FDC9
2026-04-21,19:50:52,19:50:53,474,1014,,DC214842FDC9
2026-04-21,19:50:51,19:50:52,311,659,,DC214842FDC9
2026-04-21,19:50:50,19:50:51,245,666,,DC214842FDC9
2026-04-21,19:50:49,19:50:50,245,201,,DC214842FDC9
2026-04-21,19:50:48,19:50:49,399,559,,DC214842FDC9
2026-04-21,19:50:47,19:50:48,565,804,,DC214842FDC9
2026-04-21,19:50:46,19:50:47,245,392,,DC214842FDC9
2026-04-21,19:50:45,19:50:46,203,551,,DC214842FDC9
2026-04-21,19:50:44,19:50:45,1258,1683,,DC214842FDC9
2026-04-21,19:50:43,19:50:44,418,603,,DC214842FDC9
2026-04-21,19:50:42,19:50:43,660,3496,,DC214842FDC9
2026-04-21,19:50:41,19:50:42,678,4206,,DC214842FDC9
2026-04-21,19:50:40,19:50:41,6306,3356,,DC214842FDC9
2026-04-21,19:50:39,19:50:40,1464,6758,,DC214842FDC9
2026-04-21,19:50:38,19:50:39,319,370,,DC214842FDC9
2026-04-21,19:50:37,19:50:38,380,920,,DC214842FDC9
2026-04-21,19:50:36,19:50:37,391,903,,DC214842FDC9
2026-04-21,19:50:35,19:50:36,319,604,,DC214842FDC9
2026-04-21,19:50:34,19:50:35,416,655,,DC214842FDC9
2026-04-21,19:50:33,19:50:34,250,285,,DC214842FDC9
2026-04-21,19:50:32,19:50:33,2674,805,,DC214842FDC9
2026-04-21,19:50:31,19:50:32,10637,10281,,DC214842FDC9
2026-04-21,19:50:30,19:50:31,171,201,,DC214842FDC9
2026-04-21,19:50:29,19:50:30,245,211,,DC214842FDC9
2026-04-21,19:50:28,19:50:29,380,464,,DC214842FDC9
2026-04-21,19:50:27,19:50:28,203,634,,DC214842FDC9
2026-04-21,19:50:26,19:50:27,245,392,,DC214842FDC9
2026-04-21,19:50:24,19:50:25,515,752,,DC214842FDC9
2026-04-21,19:50:23,19:50:24,539,552,,DC214842FDC9
2026-04-21,19:50:22,19:50:23,486,949,,DC214842FDC9
2026-04-21,19:50:21,19:50:22,311,447,,DC214842FDC9
2026-04-21,19:50:20,19:50:21,245,392,,DC214842FDC9
